,TN,FP,TP,FN
6,133854,1132,52828,9178
14,152261,3168,38520,478
25,174933,0,0,0
33,192710,220,3332,730
44,190095,326,5987,584
49,226702,0,0,1583
55,152299,2458,18934,1242
56,209193,1773,1373,43
59,195240,1752,0,0
65,193617,2295,1079,1
66,185312,27,11074,579
94,185880,2859,8132,121
116,174420,0,0,0
117,196992,0,0,0
140,158948,3530,33490,1024
141,187905,245,8530,312
146,196992,0,0,0
150,186263,796,9489,444
155,196992,0,0,0
169,196891,0,0,101
189,187117,0,0,9875
205,190453,1123,4381,1035
227,187514,835,7987,656
231,115978,10392,70021,601
232,169289,213,26248,1242
253,145873,1646,0,225
255,174643,290,0,0
260,157797,38682,0,0
265,185808,4012,4719,2453
278,174441,352,1355,324
300,145769,967,48606,1650
302,194778,117,2092,5
310,196857,0,0,135
322,120204,5504,71020,264
330,215973,0,0,0
345,177498,0,0,0
362,196992,0,0,0
373,174933,0,0,0
405,181363,14446,1183,0
407,196992,0,0,0
427,91371,7434,75001,1640
435,196654,0,0,338
436,134695,7976,52315,1493
449,186040,179,10670,103
450,164260,32732,0,0
486,131656,6581,57292,1463
496,153849,3944,38841,358
518,155203,1514,39107,1168
521,187637,253,8854,248
524,184900,451,10210,918
532,125625,4121,65963,1283
538,117568,1147,74674,3603
539,191566,115,3915,1396
561,180466,257,15418,851
567,250344,0,0,0
588,174933,0,0,0
602,187317,461,8497,717
611,190969,1656,2496,2897
643,196992,0,0,0
645,165352,423,8898,260
658,150886,2394,20837,816
660,225720,0,0,0
669,182863,1128,12665,336
677,161686,2153,2365,8
715,180386,255,9440,6911
717,196992,0,0,0
724,191457,206,4983,346
746,170420,2806,23126,640
754,164673,0,0,0
766,166470,655,29256,611
769,196992,0,0,0
778,95676,2827,98000,489
781,164430,211,10705,100
794,185309,0,0,11683
828,193596,1645,1591,160
839,78195,425,78788,39584
842,125814,100902,36447,6
847,196992,0,0,0
860,181973,464,13170,1385
862,153681,2702,39163,1446
878,154592,0,0,20341
879,208278,0,0,0
884,196992,0,0,0
918,174526,0,20741,1725
951,157491,0,0,0
953,196990,0,0,2
955,154351,1979,38844,1818
977,189231,41,4513,3207
1017,188860,2246,24447,420
1034,134688,8,33928,6309
1045,173899,0,0,1547
1088,170214,4871,20621,1286
1166,165941,2731,28088,232
1189,175593,1349,12946,7104
1206,193696,0,2369,927
1212,150865,2743,10409,143
1263,196992,0,0,0
1270,196992,0,0,0
1291,194012,10,2671,299
1301,197505,0,0,0
1342,198018,0,0,0
1359,196992,0,0,0
1362,191746,0,4162,1084
1368,195965,0,0,1
1374,231494,0,11923,1797
1387,192741,4251,0,0
1406,195500,1451,41,0
1408,149098,2682,44391,821
1417,193322,73,2899,698
1426,181510,2,14729,751
1432,196239,0,0,753
