,TN,FP,TP,FN
0,157947,2613,29931,1884
13,196576,0,0,416
36,155080,408,19097,4965
41,191728,647,0,0
48,186325,311,71833,4700
58,114614,176,57750,2393
61,185619,812,8763,1798
68,160401,920,32384,2261
71,141920,435,27652,4926
84,141947,1562,50946,5102
88,196479,0,0,0
135,150124,283,15175,2169
173,196781,210,1,0
177,153295,893,16740,5031
179,169636,664,3885,1774
188,131010,472,19658,1734
223,128694,268,41466,4505
235,172199,653,21720,2420
238,156698,264,15495,2476
318,194733,43,14236,1318
333,164180,0,0,3571
399,125819,31,27742,2360
401,174933,0,0,0
412,168608,23,6303,1025
423,144771,575,26559,3028
458,159889,144,32060,4899
464,122033,16,50057,2827
482,196944,48,0,0
485,151189,25,19973,3746
488,128580,4,32490,3599
489,154165,25,23361,3538
516,100647,621,55971,12051
534,112034,1829,74800,8329
562,185697,483,8769,2043
577,164170,254,8728,1781
594,117720,15,22958,3460
600,173106,1,1173,653
612,195657,41,953,341
637,152809,10603,5733,6301
649,169616,4,11858,15514
657,144864,240,22907,2305
663,171895,4,16500,3976
713,149952,34,21991,2956
737,156465,190,16152,2126
738,158432,70,25817,3439
764,167447,18,5752,1716
784,225720,0,0,0
785,174933,0,0,0
786,174933,0,0,0
788,196992,0,0,0
796,107218,795,60284,6636
799,152888,130,13815,8100
806,151652,19,17803,5459
850,147600,225,21818,5290
857,153053,103,18436,3341
899,191296,2,4543,1151
916,171811,532,19717,4932
928,159084,227,11757,4378
949,132753,510,37206,4464
967,156732,2,14611,3075
969,172242,19,21893,2838
995,216469,36,8946,2321
996,87914,1455,74809,10242
1006,137089,17,34598,3229
1020,169149,19,22856,4968
1055,128297,63,40766,5807
1058,182371,42,12114,2465
1064,179074,13,15442,2463
1090,69866,362,29560,3325
1095,185644,221,7238,3889
1096,122160,566,45152,7055
1109,110203,1376,38175,4146
1118,148587,213,23014,3119
1128,149499,33,25741,2738
1132,154926,0,0,0
1140,214136,30,7638,1864
1147,189131,389,5101,2371
1155,171307,141,17882,7662
1163,163422,18,29442,4110
1225,156839,197,15345,2552
1235,154666,317,10875,9075
1242,181603,7,12874,2508
1243,189794,4,4949,2245
1249,159126,379,32053,5434
1280,170656,7,1977,2293
1300,178631,34,1197,714
1305,142820,69,18984,2800
1321,161318,2,12124,2515
1326,168723,168,3343,2186
1335,148739,138,22760,2783
1338,94627,7,70115,10184
1340,147593,151,0,0
1353,189860,163,4965,2004
1373,142299,6142,37754,10797
1399,109663,435,56351,8484
1407,168135,400,4931,1467
1419,160277,1255,26774,8686
1428,150911,482,19991,3549
1431,181001,5,181,4006
