,TN,FP,TP,FN
0,31774,41,151042,9518
1,102472,904,66142,6441
2,9867,2,158272,6792
3,79184,3178,111541,3089
4,107072,511,56682,11181
5,62223,867,105832,5498
6,55502,1624,138245,1621
7,153491,407,41410,1684
8,31044,1084,139783,3022
9,71364,370,119593,5665
10,38028,3642,153130,2192
11,14621,3,180304,2064
12,99730,1564,68474,5678
13,11472,0,143920,41600
14,48257,1567,142067,2536
15,16585,5420,147466,4436
16,29645,0,81319,9591
17,41566,343,127767,6283
18,17440,1480,173932,4140
19,164637,93,46023,10863
20,47834,53,146526,2579
21,23959,1282,167433,4318
22,114086,7128,69369,6409
23,50333,866,182762,5610
24,95546,696,133699,1935
25,30463,1152,138837,4481
26,22518,458,167335,6681
27,2033,0,140566,2067
28,71548,206,120708,4530
29,766,0,195801,425
30,52412,157,128089,5048
31,97989,616,96366,2021
32,22412,329,172572,1679
33,43870,3418,141730,7974
34,48492,315,145377,2808
35,96108,593,91728,8563
36,23698,364,149016,6472
37,8432,6,153001,1182
38,62763,693,156533,5731
39,41852,747,114167,10985
40,95375,926,71939,6693
41,0,0,189915,2460
42,81671,4405,81942,6915
43,33259,14,135603,6057
44,78379,2608,106453,9552
45,26648,2087,165693,2564
46,38880,0,132763,3290
47,108880,105,40753,6727
48,75762,771,181059,5577
49,48122,4122,168580,7461
50,38385,863,173260,5517
51,1362,36,193004,2590
52,10741,188,158649,5355
53,73896,2951,114820,5325
54,47272,60,144840,4820
55,36165,3486,128398,6884
56,49917,968,148645,12852
57,10296,31,248733,4109
58,59870,273,111941,2849
59,167959,6516,19243,3274
60,56509,38,119522,2455
61,15565,537,175023,5867
62,2169,4,166057,2086
63,95278,359,136469,6439
64,21819,20,150104,2477
65,58342,587,131933,6130
66,12094,47,184052,799
67,46849,14,122091,4440
68,34492,153,153737,7584
69,80760,2237,111232,2763
70,36719,386,151261,8626
71,32047,531,139820,2535
72,66284,4428,106502,19778
73,7494,149,186678,2671
74,127468,223,54060,2416
75,1567,1,194118,1306
76,53448,11796,97353,34395
77,56973,1439,129005,9575
78,110040,0,72412,6845
79,81225,1257,134346,2223
80,174318,492,0,123
81,78029,1197,106182,11584
82,65079,256,127176,4481
83,73581,2259,119170,6599
84,57368,178,139104,2907
85,59509,3682,130345,3456
86,22229,202,170220,4341
87,43853,842,150765,1532
88,52932,979,137954,4614
89,88757,112,80202,6375
90,38183,2188,154861,1760
91,119154,60,58392,49140
92,71960,63,116854,8115
93,125910,1178,67647,2770
94,66994,1311,120430,8257
95,64590,3574,116504,12324
96,24721,2084,144256,3872
97,25403,16,146281,3233
98,60725,460,133011,2796
99,121260,712,48069,4892
100,50994,2845,118975,24178
101,10571,15,174259,3426
102,4253,281,170030,882
103,77286,6316,104036,4737
104,79024,357,110759,6852
105,60679,213,89031,3464
106,60290,203,81758,54741
107,55189,3246,122394,16163
108,41907,1721,128996,2309
109,20517,924,150293,3199
110,84469,1935,72912,6383
111,31509,0,140004,3420
112,15403,2376,168822,10391
113,39509,54,98181,59248
114,84470,255,106610,5657
115,48420,131,119299,7596
116,34768,587,133537,5528
117,56338,6,137901,2747
118,11864,13,161457,1599
119,56161,542,123733,9374
120,431,0,195881,680
121,11538,440,160475,7610
122,7158,266,166246,1776
123,74901,106,127747,5524
124,7283,20,188378,1311
125,127964,542,63984,4502
126,10939,110,134152,2543
127,163164,1637,49351,20289
128,44058,489,45605,2188
129,25509,185,145361,4391
130,3919,23,191650,1400
131,66788,241,117039,12924
132,39692,1240,130062,3426
133,51477,103,149962,3145
134,119379,2558,54637,2976
135,17338,6,147816,2591
136,86012,8907,94144,7929
137,17244,1888,150021,5267
138,42733,163,150606,3490
139,14537,126,153043,7227
140,35802,697,155033,5460
141,13693,296,177889,5114
142,49345,1021,144216,2410
143,62424,110,123964,10494
144,54016,266,141746,964
145,79331,145,89615,5842
146,48621,582,131167,16622
147,77664,5148,87133,4988
148,64376,3090,22811,1037
149,70900,526,123395,2171
150,46138,727,142928,7199
151,36700,550,157403,6443
152,14908,1839,155611,2575
153,24093,328,149660,852
154,38513,1916,131037,4493
155,81283,5776,100096,9837
156,26534,579,162857,7022
157,95297,2258,94510,1336
158,56473,796,129488,10235
159,111099,10,78828,7055
160,4858,0,190950,1184
161,2128,120,194047,697
162,33533,821,133088,8004
163,8650,1069,181398,5875
164,17188,27,145847,6228
165,70657,563,100357,3356
166,90813,736,44068,16231
167,14370,477,155097,3450
168,70185,4675,117326,4806
169,40630,203,154345,1814
170,121640,164,84412,4114
171,46872,1322,120362,5351
172,57170,356,133033,6433
173,348,0,195473,1171
174,65017,237,130500,1238
175,74367,2,107788,29199
176,64849,2077,98209,9798
177,25386,1129,139008,10436
178,62487,511,129714,4280
179,5569,90,165937,4363
180,56036,2115,134095,4746
181,99743,5947,70795,1526
182,113835,1552,75995,5610
183,76089,3131,93310,2403
184,13979,1492,171447,10074
185,14100,8,177786,5098
186,18377,1062,172671,4882
187,14207,3161,155320,3271
188,21355,37,127279,4203
189,61258,1828,126785,7121
190,86985,199,94042,2428
191,13048,1369,175132,7443
192,118364,1,74203,4424
193,13791,4,180840,2357
194,23437,377,117893,907
195,6737,293,179939,9510
