,TN,FP,TP,FN
4,134448,4707,31420,4871
15,151050,852,6075,15930
21,196651,0,0,341
39,145943,1236,12356,8216
47,156455,0,0,10
51,194759,835,741,657
53,180309,935,10119,5629
86,196952,0,0,40
107,171941,2681,10289,12081
115,175268,0,0,178
121,176902,1075,1015,1071
145,174933,0,0,0
163,186948,757,4799,4488
167,170861,184,1003,1346
195,195030,1449,0,0
209,148821,2022,32651,13498
234,158295,510,8128,8000
246,196992,0,0,0
252,173360,1736,15514,6382
292,136045,1551,21295,16555
345,177411,87,0,0
360,166982,580,4423,2435
379,196928,0,0,64
384,171146,149,1210,2428
390,156891,276,11210,6556
398,169425,1080,3252,1176
406,174892,0,0,41
421,157320,2355,25233,11571
454,96049,518,2129,1339
461,147835,3646,26550,18961
491,185257,293,4299,7143
499,179270,1337,8462,7923
506,196992,0,0,0
512,166974,307,4248,3404
519,164741,4425,16124,11702
522,163411,1162,7034,3326
533,196992,0,0,0
549,167229,3934,9371,16458
550,172586,743,644,960
565,182566,410,4693,8810
566,196992,0,0,0
630,148265,1791,23026,23910
632,160065,757,13087,23083
646,149198,695,8077,16963
655,187656,370,2964,6002
656,100713,2554,68716,25009
666,161442,668,3572,9251
671,167541,531,19345,9575
708,128317,3520,12049,31560
725,167154,89,2566,5124
729,182270,300,9944,4478
762,177687,2084,5103,12118
800,166569,1314,15941,13168
810,187055,301,2278,4280
815,171843,1125,10170,13854
818,164109,1775,16189,14919
825,221467,0,0,149
826,140458,4283,5741,6496
845,175446,0,0,0
867,165628,2746,18642,9976
878,174933,0,0,0
909,185975,557,3483,6977
912,180636,1778,6077,14144
917,174933,0,0,0
922,204101,654,1186,4389
926,206876,945,6552,13912
939,186551,3981,4862,1598
940,171158,139,1455,2694
958,175612,1610,11895,7875
964,196985,0,0,7
1007,189247,50,0,0
1008,191755,305,2460,2472
1017,198643,2286,10052,4992
1050,135929,150,15252,22576
1075,170908,1451,7287,17346
1081,185115,1105,4523,6249
1084,169975,221,2269,2468
1094,196712,280,0,0
1105,173123,164,186,1460
1114,190693,236,2135,3928
1139,179154,361,19465,11350
1158,196400,0,0,1105
1178,177498,0,0,0
1210,200070,0,0,0
1231,146329,4016,16204,8384
1240,176399,271,500,841
1251,158608,1667,17199,19518
1272,153110,609,22563,20710
1289,171016,4600,6825,3265
1341,196404,588,0,0
1376,188716,419,3933,3924
1377,188036,260,3122,5574
1380,157769,1019,10890,21671
1386,194395,354,498,1745
1390,187083,691,3599,5619
1391,196981,11,0,0
1421,148278,1201,27790,19723
1433,164019,1999,20392,10582
