,TN,FP,TP,FN
30,185706,0,0,0
37,154165,18,6481,1957
64,152573,8,18614,3225
74,56449,27,124181,3510
75,195078,346,1307,261
101,188271,0,0,0
111,143141,283,30196,1313
120,196992,0,0,0
122,167996,26,5653,1771
138,153236,860,39987,2909
162,175261,185,0,0
173,196652,0,0,340
198,194052,2131,805,4
210,196946,0,0,46
225,177826,196,15363,3094
256,155801,7,36238,4946
257,167628,6177,3616,77
272,151212,6066,14728,1901
286,115711,697,74851,5733
294,183823,399,11537,1233
315,159742,1117,32562,3571
328,168611,37,5407,878
349,173195,108,13400,1055
367,172019,0,1671,1243
387,196664,328,0,0
397,192882,333,9015,3483
401,174933,0,0,0
411,159942,1515,12353,1123
414,106959,132,34078,3497
426,205508,256,46819,4943
445,174933,0,0,0
455,138988,631,41795,5318
487,198018,0,0,0
495,196978,0,0,14
510,196992,0,0,0
560,195799,43,786,364
588,149930,120,21003,3880
599,168214,1423,23007,4348
603,196992,0,0,0
614,160509,63,10499,1810
620,174391,401,7550,1312
633,158630,704,27282,1142
638,181361,321,7301,1853
653,181297,411,14231,1053
672,208264,6,14344,2080
675,168108,1310,29353,5916
692,174761,418,11465,1114
700,157341,200,36034,3417
701,150338,129,21693,2773
704,257064,0,4794,1311
705,166942,127,25647,3250
712,224992,0,11961,3131
722,140183,272,31757,2721
723,156741,149,10458,2968
726,177610,281,29801,2638
731,164872,82,8244,1735
774,174909,0,0,24
785,171637,1,2332,963
795,195689,0,0,1303
821,110238,207,78634,7913
827,208652,204,34829,2555
831,180849,170,30059,3869
835,170365,16,17595,3886
848,178094,115,24031,1934
861,177720,876,13744,548
869,181199,485,13158,2150
874,183282,18,14526,3783
890,189408,332,4760,2492
891,181463,423,13310,1796
892,160045,194,10867,3827
913,161737,31,10288,2877
914,145404,1067,24623,3839
924,175722,39,16492,1148
934,185607,358,9606,1421
935,172741,1292,17691,5268
950,149650,131,22177,2975
957,173615,0,780,538
963,196216,14,506,256
973,185706,0,0,0
980,99386,340,92783,4483
981,209294,0,2361,1240
986,194721,2,1451,818
990,179575,257,14388,1746
994,148166,7,9057,2313
998,176050,352,18956,1634
999,204040,5,25187,6235
1000,196990,0,0,2
1038,193738,56,2066,1132
1047,121768,3,72507,2714
1048,196992,0,0,0
1053,182521,303,11840,2328
1071,194989,593,1337,73
1097,162381,83,12833,2201
1108,126925,961,59391,9715
1113,183233,42,12679,1038
1117,139656,104,38623,8862
1133,175260,375,19118,2239
1137,207499,730,3025,102
1159,152301,60,0,0
1173,165301,220,8324,1601
1174,146587,226,44963,5216
1177,196992,0,0,0
1195,135563,966,54571,5892
1214,184917,49,2313,479
1218,133510,260,28430,5038
1224,214462,127,7800,1279
1257,180668,353,7406,2922
1260,70158,58,124428,2348
1263,196992,0,0,0
1278,166588,307,6636,1402
1281,96558,58,75011,3306
1287,140796,550,1449,845
1296,170718,11,3526,1191
1308,196205,245,342,200
1329,143735,41,40612,3370
1337,185331,257,8361,3043
1394,171771,2,6898,1905
1410,191050,184,3779,1979
1412,194240,96,1690,966
1430,196992,0,0,0
1436,62833,5628,104330,2142
1441,186882,6,7319,2785
