,TN,FP,TP,FN
2,162762,2302,8833,1036
13,183874,2068,10199,851
27,142488,145,1787,246
29,196328,0,390,274
41,192375,0,0,0
62,170316,0,0,0
72,196992,0,0,0
88,140506,2062,44164,9747
102,170896,16,3629,905
105,153034,0,0,353
118,162776,280,11156,721
129,148879,873,23739,1955
142,146583,593,43884,5932
162,144803,2842,24861,2940
173,196929,56,0,7
184,179315,2206,10975,4496
194,142614,0,0,0
197,168663,44,3608,2105
210,195084,314,1534,60
235,196992,0,0,0
239,214681,327,9098,2640
271,170533,319,1637,905
327,110284,48,49260,14828
333,167526,0,0,225
348,174933,0,0,0
374,112687,3734,63944,16627
376,174713,289,20684,1306
381,184135,129,9780,2948
386,155881,7,31968,9136
401,163497,250,7955,3231
429,209504,10,451,365
431,149425,321,45132,2114
451,145872,2278,21462,5321
483,133723,338,60056,2875
487,172656,279,23811,1272
535,191388,198,4733,673
542,163145,491,6292,5005
564,151627,237,16398,6671
590,185383,373,9842,1394
637,175446,0,0,0
647,174933,0,0,0
655,196992,0,0,0
661,190995,388,4044,1565
664,165900,492,27243,3870
667,129025,338,31232,15364
681,156427,801,30323,9441
688,151963,186,22787,3075
694,134493,11,1672,795
721,196992,0,0,0
740,113303,794,72011,10884
783,192466,0,3017,1509
791,164782,48,5625,1400
807,180161,695,12321,3815
812,165047,144,25205,6596
836,145542,1335,23183,5386
852,170204,54,3402,1273
876,178454,1188,13254,4096
878,174182,0,0,751
880,199557,0,0,0
898,185003,44,2858,879
941,190500,433,3942,2117
952,114113,135,29604,3892
966,145078,2136,488,42
969,196992,0,0,0
973,183934,179,1048,545
984,180579,15,11000,6937
997,185253,806,9939,994
1032,196992,0,0,0
1056,168341,64,6728,1339
1077,174971,433,1175,406
1124,167364,30,22522,7076
1144,160660,212,31498,4622
1152,188229,16,6796,1951
1177,142993,327,48414,5258
1178,176915,0,0,583
1181,83386,1326,74282,15939
1196,143640,0,0,0
1204,144153,0,0,0
1210,188135,1498,9913,524
1216,114190,1028,45137,15604
1232,193763,941,7959,6641
1250,174933,0,0,0
1253,196992,0,0,0
1262,124174,422,45547,5303
1263,158949,168,31047,6828
1274,121527,8209,62548,4708
1323,192199,977,3666,663
1340,147744,0,0,0
1346,166353,95,6618,1867
1350,171680,35,1395,1823
1367,171399,3604,10731,7667
1412,194240,52,1553,1147
1423,130826,6,7669,1035
1430,152101,1088,33425,10378
