,TN,FP,TP,FN
9,180052,49,15344,1547
14,190142,60,3960,265
22,178994,13,15642,2343
31,194200,8,2279,505
42,161908,536,9784,2705
44,196992,0,0,0
49,228113,172,0,0
84,198059,0,0,1498
98,193156,64,2355,1417
125,196992,0,0,0
141,196347,645,0,0
148,26451,0,60564,4299
155,195173,1424,353,42
168,120785,1347,69373,5487
170,195541,207,13741,841
174,131721,17,63025,2229
187,175959,0,0,0
198,196948,0,0,44
199,243208,317,5967,852
202,195740,177,715,360
224,195903,575,1,0
231,196562,0,0,430
235,196992,0,0,0
236,174933,0,0,0
240,195474,42,1262,214
260,192345,214,3397,523
291,193914,0,0,0
298,263169,0,0,0
301,220037,9339,15519,3910
305,171687,323,2705,218
308,187317,715,7860,1100
333,167751,0,0,0
359,196979,0,0,13
365,173730,36,488,166
370,182285,13,12529,1652
402,196827,157,8,0
406,174676,0,0,257
428,137752,117,56127,2996
438,182036,151,14060,745
442,191551,1054,3007,1380
452,193481,1022,1636,853
471,196396,0,0,596
480,174136,0,0,797
491,196224,0,0,768
492,196992,0,0,0
507,158004,0,0,0
513,135954,1052,73627,723
524,193276,1779,729,695
533,189843,2,5808,1339
536,195843,223,10887,7994
539,196992,0,0,0
551,191331,62,4572,1027
552,114579,16,58386,1952
558,196992,0,0,0
587,196992,0,0,0
592,189597,812,5703,880
599,196992,0,0,0
606,174662,1395,3178,315
609,119902,1944,73447,1699
615,196641,0,0,351
624,196395,597,0,0
644,99457,3365,85509,8661
648,151396,429,22018,1090
671,195932,228,617,215
677,166125,0,0,87
690,181647,0,12468,2877
706,196534,0,0,458
709,166850,2,3735,1268
721,196992,0,0,0
727,175959,0,0,0
729,196992,0,0,0
736,108541,0,36213,2990
754,158344,775,3397,2157
767,167670,1168,1779,1238
773,120078,0,24997,2669
781,175145,296,5,0
784,217700,0,4995,3025
789,146380,3,47867,2742
791,171855,0,0,0
792,169854,375,4231,473
793,91841,0,22942,2694
797,148470,10,23926,2527
800,196734,0,0,258
805,153768,82,39620,3522
815,196990,0,0,2
818,196780,0,0,212
820,190372,108,5898,614
837,175113,0,0,333
838,151621,116,43521,1734
860,196992,0,0,0
864,174933,0,0,0
867,196833,0,0,159
868,196810,0,0,182
880,191314,8064,163,16
884,175586,760,18689,1957
893,79767,0,85748,9931
910,196992,0,0,0
920,182435,197,10980,3380
929,165618,436,10254,2729
936,148726,240,39253,11851
940,175404,42,0,0
951,156304,91,783,313
961,54985,98,119179,1184
968,197183,145,575,115
977,196808,184,0,0
1000,196979,0,0,13
1017,212857,1050,1758,308
1028,196992,0,0,0
1039,144748,985,49935,1324
1040,196597,395,0,0
1048,190959,22,5133,878
1053,196992,0,0,0
1059,196992,0,0,0
1092,202127,0,0,1534
1106,196853,0,0,139
1116,162802,725,30703,2762
1125,196408,338,241,5
1135,189859,190,3605,3338
1137,211356,0,0,0
1139,209540,448,342,0
1146,153714,866,10308,10045
1166,196992,0,0,0
1168,114517,343,59131,942
1169,126516,838,45882,1697
1172,113504,24,57515,3890
1179,196992,0,0,0
1187,174787,0,19148,3057
1189,196992,0,0,0
1221,168014,37,27198,1743
1227,171707,854,1883,489
1229,195986,0,0,1006
1234,196557,0,0,435
1238,149343,4437,41065,2147
1251,196921,0,0,71
1255,54012,2592,137938,2450
1263,196992,0,0,0
1270,196912,0,0,80
1276,195060,10,1166,756
1279,173266,0,0,1667
1290,196992,0,0,0
1293,173040,0,0,1893
1297,191377,3400,1215,1000
1304,193940,383,2378,291
1309,195774,167,548,503
1381,196992,0,0,0
1382,189793,1160,3139,2900
1397,196992,0,0,0
1401,195883,0,811,298
1405,196086,894,12,0
1408,196992,0,0,0
1411,196654,338,0,0
1416,195806,1186,0,0
1425,231037,5,10494,21633
1446,183542,625,0,0
1448,99209,12,161019,2929
