,TN,FP,TP,FN
19,58920,4370,154478,3848
21,179856,70,13906,3160
61,189821,1790,4542,839
80,14378,367,158216,1972
99,51298,1972,118794,2869
104,114031,3580,77565,1816
109,157540,420,15947,1026
115,135965,465,37843,1173
121,174546,812,3555,1150
123,133320,1106,69965,3887
126,137137,45,9712,850
192,77947,680,117439,926
194,118719,81,21942,1872
206,180575,0,0,1
251,194533,237,2105,117
275,154611,108,39951,2322
283,155365,449,17381,1738
297,163569,81,9495,762
313,99051,919,93713,3309
320,196992,0,0,0
324,118799,216,74256,3721
345,177498,0,0,0
416,107231,1247,86061,2453
457,116888,1,76826,3277
478,67481,34,102421,5510
546,188440,9,7262,1281
576,126915,391,48489,21197
607,107009,51,87973,1959
608,187704,2,1352,1265
619,117088,412,76081,3411
622,119183,46,76125,1638
629,75726,447,102210,6810
631,207310,717,41829,2540
654,106535,211,65690,2497
662,104957,299,65418,2720
665,176979,0,17825,2188
703,61921,420,131049,3602
734,139373,757,59219,3286
735,125041,26,65438,6487
739,83739,28,85817,5349
751,178498,0,0,26
757,59764,22,139337,15824
775,130404,36,49492,2696
776,167223,0,0,15
823,95445,119,78555,3892
851,110415,141,81581,4855
873,62950,852,129660,3530
886,196992,0,0,0
895,111179,3,62698,7722
903,126626,356,65709,4301
906,67275,292,122873,6552
911,112182,34,81225,3551
933,182135,341,13149,1367
968,118616,76,74301,5025
974,95157,351,35343,1503
993,196992,0,0,0
1007,137909,97,49186,2105
1019,71141,165,106284,2986
1029,77987,165,73808,3992
1046,196992,0,0,0
1058,196697,295,0,0
1077,103853,162,68975,3995
1085,75447,188,118707,2650
1094,196992,0,0,0
1104,190836,0,0,0
1105,105190,186,63716,5841
1134,163790,198,31393,1611
1159,56068,822,92568,2903
1196,143640,0,0,0
1199,158865,151,34251,3725
1201,144525,134,62958,5791
1203,181818,114,13595,1465
1211,106541,778,66073,1541
1259,98487,783,90421,7301
1264,145404,60,48713,2815
1265,122901,53,45845,5621
1269,128478,108,43420,2927
1303,70329,524,96350,15425
1306,108661,47,77645,10639
1310,146874,35,19832,2036
1316,140234,1656,44211,10891
1320,171622,69,1263,953
1332,97452,132,71696,4114
1364,174688,107,565,86
1435,196992,0,0,0
1440,118988,203,50879,4863
