,TN,FP,TP,FN
13,196582,404,0,6
15,173907,0,0,0
19,212494,3284,3947,1891
21,190749,880,4236,1127
40,74394,4238,93765,2536
47,154903,0,0,1562
61,196832,0,0,160
72,196185,0,0,807
73,196850,0,0,142
86,187891,82,8256,763
90,196992,0,0,0
97,149050,464,24790,629
99,174454,170,299,10
105,92388,460,57884,2655
107,196895,0,0,97
109,170303,162,2668,1800
114,196958,0,0,34
115,169671,37,4389,1349
119,189115,635,60,0
121,180063,0,0,0
123,207147,209,912,10
131,129810,153,62987,4042
134,112223,0,0,67327
162,168489,404,4788,1765
169,157509,123,37612,1748
171,167549,34,5389,935
177,175123,836,0,0
178,155109,175,36888,4820
180,196992,0,0,0
194,142614,0,0,0
195,196447,0,0,32
196,139026,580,4594,3544
204,134062,231,60752,1947
206,178919,0,0,1657
213,196992,0,0,0
219,168264,0,0,0
234,174927,0,0,6
236,161087,273,12802,771
250,129197,1265,56808,6131
251,189046,232,6043,1671
252,196992,0,0,0
254,175446,0,0,0
267,174933,0,0,0
273,196766,33,131,62
275,193997,32,1585,1378
283,167660,172,6529,572
285,196992,0,0,0
287,106900,2822,46508,2800
288,173330,0,0,1603
290,174933,0,0,0
297,168843,365,3231,1468
320,192844,6,3039,1103
347,182868,4,13288,832
353,143640,0,0,0
379,196992,0,0,0
388,195530,0,0,1462
417,137383,449,55796,3877
448,96266,1880,94273,4573
454,99864,0,0,171
457,177679,106,15410,3797
463,182607,4,12699,1682
474,52535,147,138894,5416
481,132553,325,61336,2778
482,139518,0,0,57474
490,95224,2529,77876,5460
491,196912,0,0,80
497,170830,4098,5,0
502,174933,0,0,0
505,155821,9,37365,3797
523,196992,0,0,0
531,206416,801,4402,3328
546,196992,0,0,0
565,150668,788,39964,5059
566,193228,0,1433,2331
573,173221,161,1068,483
576,196982,0,0,10
584,142531,256,51210,2995
608,144008,1096,43330,1889
617,196211,16,588,177
629,185193,0,0,0
644,193729,3263,0,0
654,169579,52,4734,568
666,164088,0,9055,1790
670,110659,220,81268,4845
682,174268,0,0,152
685,195509,0,0,1483
687,157779,949,14741,1464
695,196992,0,0,0
707,177203,4,17074,2711
708,118186,2500,43464,11296
721,155548,686,35580,5178
734,202635,0,0,0
751,143919,140,30775,3690
757,207504,156,5484,1803
758,246797,0,3960,12412
762,196454,0,0,538
786,143470,28,30364,1071
788,196845,0,0,147
800,196992,0,0,0
804,118169,387,53981,3422
805,148185,866,42345,5596
819,174933,0,0,0
820,192916,2962,788,326
826,156978,0,0,0
828,111925,1907,80256,2904
829,101175,84,46446,2091
841,87251,50,59013,2969
846,127380,235,65482,3895
879,208278,0,0,0
885,167438,11,5676,1295
886,190807,14,4683,1488
895,181602,0,0,0
897,104968,192,67256,2517
905,111844,224,59712,3153
906,196992,0,0,0
911,195903,0,0,1089
925,196992,0,0,0
930,196509,0,0,483
945,45034,490,132762,18706
959,123479,189,69658,3666
964,180077,124,15371,1420
970,187072,266,9367,287
974,132107,247,0,0
986,196992,0,0,0
989,123788,24,68070,5110
993,196992,0,0,0
996,174420,0,0,0
1008,196316,461,215,0
1019,171420,92,8053,1011
1024,141437,863,42430,3541
1033,196917,75,0,0
1035,191104,66,4962,860
1046,195605,104,1104,179
1048,175449,649,15383,5511
1058,196462,530,0,0
1067,78652,1724,101512,8948
1077,175772,58,1000,155
1087,98484,483,72806,3673
1089,94612,317,67841,8572
1091,157536,233,35676,3547
1094,192153,30,4313,496
1101,240428,14,19780,2947
1104,113030,363,74508,2935
1105,172902,43,1693,295
1110,64778,2553,104886,7333
1114,182271,285,11365,3071
1115,69648,200,94345,5610
1127,196992,0,0,0
1129,190509,599,5477,407
1132,149009,330,5062,525
1136,133241,208,61391,2152
1138,74932,36,97754,2211
1145,183577,0,0,77
1153,196992,0,0,0
1155,196992,0,0,0
1158,196370,0,725,410
1165,153687,4409,15672,2704
1192,133242,577,58596,4577
1196,135571,9,7256,804
1204,144153,0,0,0
1210,200070,0,0,0
1211,173614,68,1166,85
1219,96371,144,83118,2995
1222,145657,373,47884,3078
1235,171703,939,1995,296
1240,139295,54,36690,1972
1251,180022,79,15546,1345
1259,196992,0,0,0
1264,195761,335,637,259
1265,174262,158,0,0
1282,159855,494,28556,7574
1293,174933,0,0,0
1294,191555,0,3448,1989
1303,182628,0,0,0
1306,196989,0,0,3
1307,82028,1089,102813,9010
1310,168776,0,0,1
1316,196946,0,0,46
1320,132307,90,34601,6909
1324,174618,48,174,93
1331,193659,1,1379,1953
1342,198018,0,0,0
1356,196624,2,245,121
1364,175435,0,0,11
1376,196946,46,0,0
1377,196486,7,309,190
1380,180423,1654,7738,1534
1398,162111,4,32924,1953
1407,174208,0,0,725
1414,100166,105,88382,8339
1424,138857,12,7631,1244
1435,188624,9,7192,1167
1437,92135,16,86178,18663
1440,173994,173,560,206
