,TN,FP,TP,FN
10,196992,0,0,0
59,159787,1204,35564,437
60,121923,54,53655,2892
69,193350,188,3194,260
78,77910,1347,109180,860
79,136303,266,76695,5787
82,167079,857,24747,4309
100,190499,1537,4281,675
106,147337,991,46057,2607
133,153028,79,48895,2685
156,196992,0,0,0
157,95799,47,90073,7482
158,139947,95,52361,4589
165,174933,0,0,0
175,135366,1621,72997,1372
190,166076,97,16181,1300
203,154308,879,37848,3957
237,130007,322,9965,781
242,121476,448,50567,2442
257,177498,0,0,0
259,193151,1852,1918,71
277,147828,602,46091,2471
288,136966,63,34967,2937
296,162418,157,31361,3056
314,82875,616,110294,1668
319,158526,288,15289,830
323,184680,0,0,0
330,208301,307,6947,418
340,141043,99,40268,1218
343,123329,260,70707,2696
344,151572,137,40477,4806
363,196479,0,0,0
368,193559,128,2807,498
380,165002,470,28010,3510
391,151488,0,52993,5849
396,169715,407,26223,647
403,165647,115,28964,2266
409,124249,129,70941,1673
415,149111,27,41982,5872
427,175446,0,0,0
435,166599,70,25774,4549
437,164111,59,30948,1874
470,117217,3,75167,4605
559,174933,0,0,0
567,154241,221,83076,12806
568,196992,0,0,0
569,155904,210,38483,2395
571,78942,5,81667,5598
603,168513,3,22372,6104
634,183654,0,0,0
635,141600,184,26759,5877
641,173529,111,20400,2952
651,196992,0,0,0
669,194542,1215,1078,157
680,132831,23,57728,6410
698,183319,102,11567,1491
701,174933,0,0,0
702,155438,186,51570,4162
716,121779,737,50276,2654
717,153523,111,40970,2388
760,122314,187,48722,3710
774,127565,302,43229,3837
794,154463,44,34876,7609
801,177313,216,17559,1904
809,196992,0,0,0
854,132364,15,39818,2736
864,123957,159,48494,2323
875,170451,3,3734,745
881,95195,568,76761,2409
888,149906,33,39672,4303
890,196992,0,0,0
901,108529,702,80009,7752
927,158821,60,35748,2363
931,155973,124,35499,5396
946,111654,62,72018,6076
965,72235,884,120053,3820
975,55797,490,113900,5259
976,138753,785,32077,3318
988,118464,2447,56599,2553
1000,186800,298,9050,844
1004,195648,1341,3,0
1012,122536,120,89273,4557
1015,143915,276,48583,4218
1016,136132,110,33549,5142
1023,113333,507,75313,7839
1030,124767,247,68309,3669
1042,160019,97,12974,1330
1049,114866,476,78660,2990
1052,188544,8,7389,1051
1054,166954,358,28418,1262
1063,151874,868,42560,1690
1066,84257,759,109048,2928
1070,139364,201,66392,4373
1073,143135,47,29173,2578
1074,159291,628,36306,767
1081,181682,82,13047,2181
1083,180265,568,4585,288
1086,77286,385,151319,3912
1103,223216,538,36748,2667
1111,112565,481,79784,4162
1116,154435,7,34163,8387
1126,96394,3,94843,5752
1130,144092,37,30093,1737
1131,117280,7,50415,6718
1135,166115,284,29609,984
1137,211356,0,0,0
1143,198251,731,15388,1603
1148,112464,222,60541,1706
1149,147054,158,46110,3670
1156,97872,4586,66696,6805
1161,32687,67,158619,5619
1166,181808,163,13700,1321
1185,165427,47,28945,2573
1190,123261,143,48095,3434
1197,105441,389,87938,3224
1200,80945,18,85140,4726
1213,103602,142,87282,5966
1217,182746,1,11924,2321
1223,70646,1651,95655,29040
1228,167149,305,26418,3120
1234,174119,4489,14716,3668
1244,101496,373,91967,3156
1273,186338,1670,8010,974
1295,156446,462,34504,5580
1298,142070,1053,49162,4707
1299,87774,344,104990,3884
1302,169060,310,24718,2904
1312,196992,0,0,0
1327,156932,0,0,46
1330,108735,117,83764,4376
1343,126945,6,65214,4827
1347,102028,28,65694,7183
1348,153452,76,40639,2825
1349,101062,223,68575,5073
1363,174933,0,0,0
1365,27167,59,160317,9449
1382,196992,0,0,0
1420,22763,241,168480,5508
1429,196992,0,0,0
1443,192058,0,0,4934
