,TN,FP,TP,FN
8,174933,0,0,0
11,182231,137,12716,1908
12,72019,2133,98538,2756
38,162144,120,53435,10021
52,174209,0,0,724
62,170267,0,0,49
73,192839,288,3598,267
93,70361,56,119226,7862
110,78218,1086,74154,12241
120,196992,0,0,0
127,69673,43,132880,31845
139,174933,0,0,0
164,160210,860,7613,607
178,178355,576,16614,1447
217,179407,251,15282,2052
220,127468,259,29319,9166
274,170331,2682,1071,336
281,149490,7,22854,2582
289,145730,2924,45975,2363
317,157588,709,35885,2810
321,192473,680,2244,1595
323,171258,169,12312,941
371,114369,164,80517,1942
439,160877,266,33004,2845
515,82690,295,110087,3920
525,29317,779,137987,6850
526,146592,212,45904,4284
555,196992,0,0,0
557,87599,240,102244,6909
574,171566,38,21281,4107
585,127733,379,44705,2116
586,170101,65,25063,1763
589,178573,139,16735,1545
593,166426,237,25594,4735
604,168753,11,5264,905
621,196992,0,0,0
650,146619,732,60955,4076
652,159588,988,29944,6472
674,166744,427,28120,4779
684,30873,0,89052,55008
686,79028,5,92905,7612
743,183483,26,10997,2486
748,143033,112,28937,3364
749,135835,460,54355,6342
752,196992,0,0,0
753,181720,116,13302,1854
756,83570,243,110033,3146
777,147938,58,22692,3732
787,183988,31,10778,2195
808,53023,15,108736,13159
840,113408,0,58654,2871
844,177994,290,14788,3920
855,81986,29,82052,11379
872,196992,0,0,0
962,128210,144,57992,10646
985,147604,359,46623,2406
991,38614,21,97864,38947
992,135861,153,35526,3393
1021,206226,0,0,0
1031,150378,308,42403,4416
1036,174933,0,0,0
1068,101215,277,91489,4011
1082,195524,15,841,612
1083,166562,175,15603,3366
1098,183464,164,8358,5006
1102,126390,934,45830,9474
1157,84461,325,108348,3858
1176,167779,39,25232,3942
1183,155136,345,35680,5831
1204,134035,586,8443,1089
1245,194479,220,1468,825
1287,104737,951,31877,6075
1288,123984,803,56978,4967
1313,196987,0,0,5
1314,167962,296,24596,5677
1322,209121,415,49238,4395
1325,86138,70,67607,6754
1342,192013,381,2910,2714
1344,175568,3,16363,5058
1358,173135,22,19945,3890
1366,196876,17,5025,2769
1388,196992,0,0,0
1427,148359,19,42663,5951
1435,180592,6,13348,3046
