,TN,FP,TP,FN
9,196992,0,0,0
22,140878,1673,46857,7584
26,183182,437,8233,5140
28,158989,562,36744,697
42,172294,0,0,2639
44,172206,72,23376,1338
54,166203,369,29246,1174
85,167459,543,27636,1354
94,184764,0,11350,878
95,196992,0,0,0
125,130714,3,63713,2562
147,147238,6678,19116,1901
148,91314,0,0,0
155,172366,1493,20061,3072
186,176303,1609,16165,2915
189,178707,4231,11229,2825
199,141066,4296,102277,2705
202,127491,1785,63689,4027
224,151905,1746,37733,5095
241,115082,1102,79315,2006
245,97052,28,88817,835
248,196992,0,0,0
249,49920,1312,143964,1796
258,196992,0,0,0
265,196992,0,0,0
298,201215,358,59540,2056
302,191268,848,4013,863
310,164901,2561,25616,3914
350,151067,594,22704,568
362,35602,268,150733,10389
392,146205,0,0,0
394,173578,0,0,1355
408,196965,0,0,27
424,155722,1,39697,1572
430,174933,0,0,0
438,136767,185,56090,3950
442,161980,1227,30082,3703
468,112228,454,82900,1410
480,174932,0,0,1
492,148319,827,45907,1939
507,127771,0,26247,3986
527,4892,159,142441,252
536,188041,0,0,26906
554,179280,277,11280,6155
558,172373,5,21952,2662
559,174780,0,0,153
570,136953,70,56768,3201
587,187590,1622,6488,1292
595,180463,5206,8765,2558
597,150947,2165,18831,2990
615,9065,4786,169583,13558
623,167306,494,29378,840
624,161359,948,29385,5300
637,175446,0,0,0
648,174933,0,0,0
668,178990,0,0,16976
706,8476,557,187180,779
709,171855,0,0,0
727,175959,0,0,0
733,218025,0,0,0
736,147700,0,0,44
770,149774,4260,38889,4069
772,161754,613,9962,2604
780,169365,3116,1251,1714
805,134156,2,48116,14718
811,115545,32,56543,2813
814,184388,95,12180,329
837,162929,1078,10597,842
859,192922,163,3315,592
868,178424,2236,14035,2297
877,167958,746,23250,5038
910,128480,51,66741,1720
920,164535,27,29145,3285
947,172370,158,22936,1528
951,157491,0,0,0
1016,174933,0,0,0
1028,130163,43,64501,2285
1040,186971,379,5368,4274
1065,179580,7987,5561,3864
1073,69119,0,0,105814
1094,196992,0,0,0
1107,174218,5,21524,1245
1116,196992,0,0,0
1121,174233,759,19495,2505
1125,153769,2356,30628,10239
1143,167478,6215,31642,10638
1170,196992,0,0,0
1179,196992,0,0,0
1180,191862,0,0,0
1186,187515,2927,4758,1792
1197,196992,0,0,0
1198,198009,18,13649,6862
1206,196992,0,0,0
1229,163185,1034,30492,2281
1254,196962,0,0,30
1261,167097,1290,25081,3524
1270,185270,608,8023,3091
1290,135164,651,57557,3620
1298,196907,0,0,85
1301,194617,2888,0,0
1302,196949,0,0,43
1309,144477,9,47921,4585
1317,194716,969,0,1307
1327,140226,665,15308,779
1333,196812,0,0,180
1345,174933,0,0,0
1352,196944,0,0,48
1355,106321,2885,57952,7775
1362,196992,0,0,0
1370,194151,321,1299,1221
1381,169892,208,21503,5389
1389,128027,823,66692,1450
1395,196992,0,0,0
1401,162715,499,30127,3651
1404,196992,0,0,0
1406,195708,0,0,1284
1417,196587,0,0,405
1434,174933,0,0,0
1448,263169,0,0,0
