,TN,FP,TP,FN
4,175446,0,0,0
8,142568,237,23839,8289
23,196168,1524,37512,4367
24,166031,382,58168,7295
50,185802,1135,25194,5894
52,174887,0,0,46
62,167901,291,1755,369
63,142114,794,90761,4876
73,196992,0,0,0
96,151614,207,17725,5387
120,196546,15,132,299
139,174933,0,0,0
151,170728,1136,24314,4918
156,191227,672,3625,1468
159,147967,376,47034,1615
164,162650,325,4128,2187
171,140321,195,26157,7234
206,125499,126,50627,4324
222,175630,1096,29927,7781
226,96534,1219,73683,2984
247,154420,546,13948,5506
262,198540,1020,25996,6320
270,178202,80,14007,2651
276,150490,471,16569,6377
290,156720,265,15659,2289
295,191691,2297,2747,257
316,156692,253,9637,2195
321,196394,0,0,598
352,113224,3,53339,4263
353,143572,0,0,68
363,174994,515,17371,3599
404,184109,138,11626,1119
413,115058,661,55909,3305
440,183673,1249,31601,3554
465,153536,119,17809,3469
467,147300,424,40795,8473
479,163313,73,27849,5757
494,74401,5,3807,789
501,126940,558,59907,9587
511,164888,549,18103,2679
514,187018,319,20108,11606
517,113920,2712,50108,8193
528,200732,0,0,364
540,165543,1768,28791,890
545,167412,257,24926,4397
548,140068,99,49311,7514
555,192107,234,4010,641
557,196992,0,0,0
563,176600,330,16066,3996
596,180569,132,14216,2075
613,103434,1037,73740,11599
621,194706,169,1526,591
625,170748,315,23765,2164
626,51526,129,141451,3886
627,98954,25,70444,5510
634,153260,238,26969,3187
659,116369,342,54549,14959
678,185884,0,6832,4276
681,196992,0,0,0
682,161851,131,8548,3890
696,177138,99,16727,3028
718,171834,37,18386,6735
747,165571,28,6770,2564
752,165571,345,26908,4168
802,128607,182,40036,6108
825,195946,205,22328,3137
833,131983,874,35171,6905
856,155168,63,36311,5450
863,158936,871,22274,8242
866,192888,0,0,0
872,196992,0,0,0
887,76168,2011,115076,3737
915,166817,369,58367,7349
930,140208,285,40053,16446
938,202863,1383,42768,3330
972,146296,513,22524,5600
982,79473,684,74710,10832
1021,91395,39,109658,5134
1057,121890,554,68521,6027
1080,113067,129,75245,4447
1082,196992,0,0,0
1122,121473,2936,64381,8202
1167,134619,9,58816,3548
1180,191862,0,0,0
1188,97586,981,82539,6652
1205,112583,798,72755,10856
1271,189041,1095,5225,1118
1285,65132,518,103911,4859
1302,196948,0,0,44
1313,196971,0,0,21
1361,148455,13,35161,8233
1422,192631,186,2787,1388
1429,176681,420,9985,9906
1438,182426,335,7422,6809
