,TN,FP,TP,FN
53,196992,0,0,0
67,126016,515,45328,1535
86,189772,208,4717,2295
90,167355,483,24168,4986
112,190340,103,5315,1234
115,175446,0,0,0
134,128197,1282,28033,22038
143,147668,806,45853,2665
145,127334,888,39546,7165
166,114443,1906,32759,2740
172,147218,1457,44492,3825
180,163234,864,24563,8331
185,183684,321,11514,1473
198,196992,0,0,0
213,120928,2608,68615,4841
233,166237,235,29205,1315
246,77553,9266,104731,5442
252,196992,0,0,0
285,137634,2110,48809,8439
309,139968,374,31719,2872
312,165159,1113,27541,3179
320,172474,857,16907,6754
364,110279,431,59789,4434
366,137596,456,50209,8731
379,196990,0,0,2
382,192214,334,3385,1059
419,66635,885,86019,21394
425,152607,469,38814,5102
463,176718,269,11527,8478
466,185163,11,20011,4632
498,119764,83,70324,6308
502,169875,744,3727,587
506,196992,0,0,0
523,175451,725,17234,3582
531,173837,1919,25640,13551
537,137294,3702,52318,3678
544,152868,110,40244,3770
553,42686,225,137035,17046
565,196479,0,0,0
573,166220,165,6030,2518
582,169550,65,24257,4146
617,185030,427,7974,3561
640,126154,417,43136,5226
666,174933,0,0,0
683,148803,661,19656,6839
687,138907,1116,24424,10486
758,179265,205,77678,6021
763,141272,1999,24738,3333
768,140550,1251,48019,7172
788,196496,0,0,496
790,175875,381,17894,2842
816,175570,126,18571,2212
845,167037,253,7103,1053
871,133041,4593,32268,5031
885,134344,1346,36453,2277
904,148529,947,22248,3209
908,171011,222,2545,1668
917,156570,93,14856,3414
921,163709,19,18986,5557
922,210330,0,0,0
942,109315,95,67454,20128
987,173851,27,583,985
1009,99852,226,88488,8426
1013,187476,331,5627,3558
1024,102236,2469,77285,6281
1061,152444,463,35341,8744
1062,106501,540,84011,5940
1069,155523,748,15648,2501
1084,174933,0,0,0
1100,165757,497,25373,5365
1114,196957,0,0,35
1132,154926,0,0,0
1141,123200,42,26832,20242
1145,158678,63,18865,6048
1153,90464,2815,89552,14161
1158,196478,1027,0,0
1160,135149,280,57214,4349
1178,160424,666,13608,2800
1191,120196,107,45781,8849
1203,152768,889,33577,9758
1210,176833,897,15604,6736
1215,133672,1714,49950,11656
1220,150417,415,42682,3478
1222,164631,35,26047,6279
1277,147017,3846,21536,2534
1283,110958,183,71188,14663
1289,182098,0,0,3608
1292,149702,381,39422,7487
1341,194528,0,0,2464
1398,179771,169,10904,6148
1435,179783,233,13808,3168
