,TN,FP,TP,FN
4,103018,1136,62915,8377
7,43071,23,149005,4893
9,140592,1557,52663,2180
10,196992,0,0,0
12,175446,0,0,0
14,194427,0,0,0
16,120313,242,0,0
17,175400,0,0,559
19,221050,0,0,566
21,194111,410,1370,1101
22,147036,1168,35776,13012
23,230104,147,6904,2416
24,199643,1454,28923,1856
28,162110,637,32709,1536
29,196863,27,79,23
31,101157,14,91237,4584
33,183921,237,8817,4017
34,196992,0,0,0
35,99558,2278,91124,4032
39,144226,1498,17930,4097
42,107028,966,63525,3414
43,139314,2346,30539,2734
44,153419,531,41473,1569
47,48371,681,99712,7701
49,212929,321,13948,1087
50,209688,177,6746,1414
52,171354,76,2817,686
53,135755,138,47309,13790
55,159464,209,12993,2267
56,171288,1885,36557,2652
62,170316,0,0,0
65,140619,656,45819,9898
69,196992,0,0,0
72,155127,5,25563,16297
73,193304,52,2808,828
76,158483,96,34684,3729
80,159913,398,12389,2233
81,191745,257,4362,628
85,165475,296,27796,3425
86,189559,1073,5523,837
88,195452,1027,0,0
89,91742,622,80896,2186
90,185375,400,9225,1992
91,107532,0,115230,3984
95,134366,216,58035,4375
96,171162,78,1716,1977
98,137450,2129,53732,3681
100,150498,581,40637,5276
101,188271,0,0,0
103,107060,1713,67446,16156
106,195318,0,0,1674
107,160724,300,33654,2314
110,165690,0,0,9
112,193644,118,2456,774
113,177842,179,17911,1060
115,171057,770,2703,916
117,159333,431,34135,3093
120,196878,114,0,0
121,174142,734,4529,658
123,206462,1583,181,52
125,133788,1088,60832,1284
126,147257,0,0,487
127,234365,0,0,76
134,174617,394,3649,890
136,124666,3097,58689,10540
137,159990,1551,11139,1740
141,196967,0,0,25
142,196442,0,0,550
143,182045,931,13664,352
144,192163,102,4603,124
145,139990,2178,27500,5265
146,168843,237,25665,2247
148,88711,0,0,2603
151,193073,5,6038,1980
155,157678,107,36826,2381
156,174144,828,19362,2658
158,196673,0,0,319
159,133951,581,60679,1781
163,196484,76,349,83
164,165545,1065,2363,317
166,89405,6393,42471,13579
167,160790,106,8068,4430
169,195473,64,1136,319
170,102666,442,103197,4025
171,165224,204,6933,1546
172,187360,423,8141,1068
177,170438,777,2869,1875
178,193750,13,2136,1093
179,175668,291,0,0
180,170578,1157,22259,2998
185,195541,330,729,392
190,113658,293,67407,2296
195,189090,676,6267,446
196,147744,0,0,0
198,136906,141,54341,5604
200,86885,2316,99692,8099
201,179336,578,14032,3046
203,172031,0,0,24961
206,160923,373,17299,1981
207,191823,305,4424,440
208,182064,0,13805,1123
212,64174,3746,121228,7844
213,159021,1290,30857,5824
216,79988,2332,111954,2718
218,181709,1551,889,18
219,168264,0,0,0
220,158846,143,5187,2036
221,86919,1135,69420,17972
222,205842,58,6494,2040
224,128923,1228,61118,5210
226,144133,20,28996,1271
230,139496,606,33066,1765
232,184930,12,10425,1625
234,159673,584,11128,3548
235,193085,1888,1415,604
236,173254,344,1291,44
240,85453,196,103200,8143
241,93719,524,92120,11142
245,170012,250,14695,1775
247,167790,16,4534,2080
248,138874,228,45981,11909
249,164934,46,29376,2636
250,186538,922,3977,1964
252,166541,571,24347,5533
253,137203,3651,5921,969
255,133190,615,36732,4396
259,171878,2829,18620,3665
260,186106,1221,8666,486
262,225518,22,4507,1829
265,184339,2725,7116,2812
267,108458,14,63664,2797
270,187663,688,4643,1946
273,155547,372,39389,1684
275,196975,0,0,17
276,166591,376,5004,1936
278,147206,19,26412,2835
279,81796,3207,142482,5930
280,151016,1502,21739,676
284,172593,5083,15615,3701
285,194117,628,1510,737
