,TN,FP,TP,FN
18,194002,287,1260,1443
26,196992,0,0,0
32,196282,108,335,267
42,170340,584,2226,1783
44,189489,2723,3598,1182
70,157688,2199,33189,3916
72,166595,2352,21110,6935
76,196362,0,0,630
77,191346,271,3627,1748
86,196992,0,0,0
95,191236,2,1612,4142
100,196978,0,0,14
112,188449,543,4011,3989
116,139048,17,30190,5165
137,168026,141,3708,2545
143,194533,2459,0,0
146,191379,1639,1671,2303
147,174933,0,0,0
152,157853,333,10767,5980
155,179238,24,9625,8105
169,196974,0,0,18
187,157940,651,6596,10772
191,180877,2262,8133,5720
202,196992,0,0,0
227,192975,77,671,3269
232,196992,0,0,0
244,147660,4786,36431,8115
248,190507,351,2522,3612
258,196687,299,6,0
269,99710,1196,69723,26876
284,195019,717,944,312
291,188517,313,597,4487
299,170620,4313,0,0
311,171752,1196,20385,3659
329,187758,0,0,0
342,140525,1515,42081,12871
350,174488,0,0,445
374,196992,0,0,0
380,183202,339,8020,5431
387,186197,3696,3926,3173
405,193833,1615,1070,474
406,174933,0,0,0
411,141690,635,26760,5848
420,196992,0,0,0
422,171203,443,23211,2135
424,150453,389,39560,6590
432,196750,0,0,242
449,196233,33,558,168
456,164291,296,6979,4393
468,196111,0,0,881
472,192719,0,0,4273
475,182061,708,8000,6223
480,174933,0,0,0
504,179293,1689,8913,7097
529,114662,5721,35090,19973
530,82149,83,47169,4492
547,140819,7942,14042,4435
562,196420,0,0,572
566,194920,1226,835,11
591,194525,0,0,2467
623,197391,0,0,627
628,73735,149,95790,5259
630,196207,0,0,785
660,219519,204,4111,1886
669,178094,132,15719,3047
690,196992,0,0,0
724,186612,644,7796,1940
727,156245,1736,12743,5235
733,195523,1305,17320,3877
767,171855,0,0,0
772,158266,384,9832,6451
780,164682,1413,1065,8286
782,174095,1660,12720,8517
795,191573,141,2038,3240
800,194959,1813,20,200
837,173649,226,287,1284
843,193549,1112,1334,997
877,196209,0,0,783
900,196991,0,0,1
920,195467,661,630,234
939,196992,0,0,0
953,196365,119,364,144
956,97741,360,85174,13717
971,159709,134,34664,2485
988,180063,0,0,0
1008,191968,193,4132,699
1032,186599,1209,4250,4934
1037,134987,1651,38072,22282
1040,190059,385,3373,3175
1052,149511,1568,17455,28458
1054,185897,0,0,11095
1065,193262,3729,1,0
1075,196992,0,0,0
1094,83073,127,112776,1016
1106,182333,611,11025,3023
1121,196992,0,0,0
1125,193945,960,820,1267
1135,176205,859,16188,3740
1162,124333,4295,44421,23943
1170,196659,0,0,333
1179,142964,1000,43640,9388
1186,188663,633,2132,5564
1207,72922,53,28808,11590
1212,161971,2189,0,0
1240,169264,735,5922,2090
1259,196736,256,0,0
1261,196992,0,0,0
1263,196992,0,0,0
1290,196658,0,0,334
1297,186042,449,7649,2852
1311,196605,211,24,152
1320,172345,0,0,1562
1327,150136,0,0,6842
1355,174933,0,0,0
1359,192197,324,3443,1028
1362,192413,158,197,4224
1370,195626,5,741,620
1371,109524,686,60513,26269
1404,195727,339,836,90
1417,196560,0,0,432
1424,145122,51,1796,775
1439,188482,917,2135,5458
1445,171626,992,213,50
