,TN,FP,TP,FN
5,110337,993,53020,10070
20,148936,169,45375,2512
30,132924,213,47288,5281
52,166959,1508,4216,2250
57,252609,233,7717,2610
83,124373,1396,69253,6587
87,152193,104,35932,8763
101,188271,0,0,0
119,189810,0,0,0
124,189658,31,6233,1070
139,174933,0,0,0
160,192114,20,4441,417
161,194702,42,1487,761
176,104300,3707,59361,7565
193,183152,45,12377,1418
214,126124,459,58747,11662
219,166030,1098,1088,48
228,173495,658,17136,5703
243,86051,190,105193,5558
280,174933,0,0,0
293,169283,1194,22172,4343
353,143640,0,0,0
433,150310,63,14580,2798
503,102764,485,82211,11532
510,163474,322,31887,1309
520,93406,131,98037,5418
543,138500,7,35037,5493
568,123690,1199,66555,5548
581,158236,233,36140,2383
593,196746,0,0,246
598,190749,28,5285,930
605,152181,5,38386,6420
610,155745,0,37006,4241
639,159130,22,15107,674
674,199858,0,0,212
676,165601,178,26927,4286
695,155477,79,36518,4918
698,196479,0,0,0
719,143957,518,38067,13937
730,167238,0,0,0
732,139810,27,68020,11707
741,153763,114,101837,7455
745,179174,1175,14275,2368
849,151583,331,39088,5990
872,195118,15,1533,326
923,193730,0,2105,644
954,183673,217,3267,2653
993,171760,186,21073,3973
1001,155088,174,20159,3616
1010,157345,36,35074,4537
1022,158121,181,30975,7715
1025,157080,129,34239,5544
1026,196992,0,0,0
1027,127765,216,65085,3926
1051,79941,975,80441,13576
1060,161737,53,29616,5586
1098,196992,0,0,0
1123,120649,202,50583,6064
1154,134304,976,55881,5831
1203,193466,1332,2158,36
1218,167238,0,0,0
1234,196992,0,0,0
1236,97247,1265,73199,2709
1239,131070,120,36387,5817
1245,196992,0,0,0
1248,170919,13,2372,1116
1275,189267,28,5104,2080
1313,192731,64,2582,1615
1334,178114,73,34253,5072
1388,68498,130,109212,19152
1418,172220,179,932,1089
1429,196992,0,0,0
