,TN,FP,TP,FN
10,155763,82,32451,8696
18,180775,0,12615,3602
25,157269,458,15975,1231
32,174821,32,20885,1254
33,174302,0,0,22690
35,196524,0,0,468
44,195492,0,0,1500
45,174948,24,20336,1684
46,135745,308,38251,629
49,191597,1136,29749,5803
59,121976,48,60194,14774
69,130415,609,59454,6514
76,169081,3621,9285,15005
77,142277,2768,47347,4600
79,219051,0,0,0
94,158538,216,34598,3640
106,183238,3736,9450,568
117,176688,1188,17740,1376
125,196976,0,0,16
137,174420,0,0,0
146,196992,0,0,0
176,174933,0,0,0
201,174853,3494,13344,5301
203,196992,0,0,0
205,196992,0,0,0
207,181754,124,14938,176
211,192375,0,0,0
237,48201,521,84302,8051
248,193441,0,0,3551
255,157604,1657,9804,5868
258,193982,0,0,3010
259,196992,0,0,0
263,37660,2490,153839,3003
268,168093,6589,20246,2064
284,183229,702,7709,5352
291,118153,0,73158,2603
302,183944,5,12303,740
304,177295,2609,12522,4566
306,107332,395,84187,5078
307,167200,962,25468,3362
310,196992,0,0,0
326,217512,0,0,0
329,156107,29,29904,1718
338,144994,5382,22176,2894
346,196992,0,0,0
351,127780,78,40785,6290
355,196992,0,0,0
358,174933,0,0,0
388,196992,0,0,0
405,196992,0,0,0
435,196418,0,0,574
444,196992,0,0,0
445,150524,4288,14847,5274
451,174933,0,0,0
462,196987,0,0,5
476,143896,159,30242,636
477,178725,37,16548,1682
493,142288,22,34769,932
506,160343,1271,32905,2473
509,196479,0,0,0
539,196881,0,0,111
561,193284,0,0,3708
580,184847,0,10442,1703
592,196423,0,0,569
603,196992,0,0,0
611,198018,0,0,0
616,154063,84,41328,1517
642,220565,24,16988,1481
643,158922,789,35129,2152
651,140545,0,53980,2467
660,198537,1720,22889,2574
668,167895,3,25380,2688
685,108798,1019,83463,3712
710,174933,0,0,0
724,182595,253,11489,2655
730,157410,15,8339,1474
733,186254,4617,18416,8738
746,195640,0,0,1352
765,156200,297,37478,3017
769,163123,2118,30025,1726
780,156022,66,16546,2812
792,81330,13,87862,5728
814,144143,275,48589,3985
839,196992,0,0,0
843,144482,242,49909,2359
847,97151,773,95090,3978
858,196992,0,0,0
862,186442,631,7528,2391
875,101050,233,73108,542
877,191699,4686,507,100
880,199557,0,0,0
883,119083,33,75238,2638
894,196992,0,0,0
900,163691,10,27901,5390
918,156431,176,36314,4071
951,121666,66,32728,3031
953,142575,26,51082,3309
960,196992,0,0,0
971,196992,0,0,0
1004,166222,25,28472,2273
1014,35144,73,157718,3544
1032,196951,0,0,41
1035,156963,1479,32141,6409
1045,76821,35,94636,3954
1052,145341,926,48485,2240
1063,47905,0,0,149087
1074,37060,241,153951,5740
1092,198153,1798,2799,911
1125,155770,4676,27641,8905
1149,196992,0,0,0
1179,146803,790,45504,3895
1182,173186,105,18994,4707
1186,196719,0,0,273
1206,177148,9,19149,686
1226,155004,0,0,41988
1228,154239,2260,36533,3960
1229,196992,0,0,0
1231,174933,0,0,0
1234,161554,0,0,35438
1244,196911,0,0,81
1246,174227,549,24837,6100
1254,177083,0,0,19909
1256,54071,0,134013,8908
1258,142776,2,32471,1736
1268,177634,17,17085,2256
1276,196992,0,0,0
1291,196979,0,0,13
1295,196992,0,0,0
1301,197505,0,0,0
1311,101777,129,93342,1744
1318,201096,0,0,0
1333,195703,0,0,1289
1345,170006,695,3300,932
1348,43143,410,151066,2373
1357,225654,690,31526,5299
1359,150354,74,44923,1641
1362,196992,0,0,0
1368,186810,11,7818,1327
1370,175884,0,20053,1055
1385,185177,10,11181,624
1387,196373,0,0,619
1401,196992,0,0,0
1404,185028,1631,7337,2996
1406,195694,0,0,1298
1417,167732,2327,24645,2288
1426,190261,0,5925,806
1432,196992,0,0,0
1439,191576,1567,3657,192
1443,32290,31,157899,6772
1446,171832,0,0,12335
1447,128938,1750,62570,3734
