,TN,FP,TP,FN
6,139856,10,53950,3176
14,148699,129,41559,4040
25,174933,0,0,0
33,192379,49,3503,1061
44,189898,143,6170,781
49,226628,0,0,1657
55,151261,1072,20320,2280
56,208814,197,2949,422
59,195240,1752,0,0
65,193364,416,2958,254
66,184843,8,11093,1048
94,185643,1921,9070,358
116,174420,0,0,0
117,196992,0,0,0
140,157713,2780,34240,2259
141,187531,65,8710,686
146,196992,0,0,0
150,185763,586,9699,944
155,196992,0,0,0
169,196992,0,0,0
189,196992,0,0,0
205,190002,704,4800,1486
227,186785,456,8366,1385
231,109420,587,79826,7159
232,167774,53,26408,2757
253,145604,1646,0,494
255,174643,290,0,0
260,156264,2219,36463,1533
265,183369,479,8252,4892
278,174026,126,1581,739
300,144536,164,49409,2883
302,194659,3,2206,124
310,196992,0,0,0
322,118933,3225,73299,1535
330,215973,0,0,0
345,177498,0,0,0
362,196992,0,0,0
373,174933,0,0,0
405,180494,1355,14274,869
407,196992,0,0,0
427,88742,239,82196,4269
435,196992,0,0,0
436,134076,1478,58813,2112
449,185995,80,10769,148
450,164004,1491,31241,256
486,128375,339,63534,4744
496,151012,209,42576,3195
518,154490,107,40514,1881
521,187472,155,8952,413
524,184270,156,10505,1548
532,124281,404,69680,2627
538,115909,338,75483,5262
539,190898,50,3980,2064
561,179246,13,15662,2071
567,250344,0,0,0
588,174933,0,0,0
602,186338,407,8551,1696
611,191378,1500,2652,2488
643,196992,0,0,0
645,165129,77,9244,483
658,149955,1934,21297,1747
660,225720,0,0,0
669,181783,1,13792,1416
677,161418,1484,3034,276
715,182908,2,9693,4389
717,196992,0,0,0
724,191263,31,5158,540
746,168680,852,25080,2380
754,164673,0,0,0
766,165497,14,29897,1584
769,196992,0,0,0
778,94007,201,100626,2158
781,164186,16,10900,344
794,196992,0,0,0
828,193549,1702,1534,207
839,41462,0,79213,76317
842,119115,13259,124090,6705
847,196991,0,0,1
860,179803,39,13595,3555
862,150434,825,41040,4693
878,174933,0,0,0
879,208278,0,0,0
884,196992,0,0,0
918,174227,0,20741,2024
951,157484,0,0,7
953,196992,0,0,0
955,152424,75,40748,3745
977,189003,20,4534,3435
1017,187834,116,26577,1446
1034,136494,0,33936,4503
1045,173349,0,0,2097
1088,168751,951,24541,2749
1166,165338,180,30639,835
1189,174964,557,13738,7733
1206,193404,0,2369,1219
1212,150592,808,12344,416
1263,196992,0,0,0
1270,196992,0,0,0
1291,193868,0,2681,443
1301,197505,0,0,0
1342,198018,0,0,0
1359,196992,0,0,0
1362,191827,0,4162,1003
1368,195966,0,0,0
1374,231755,0,11923,1536
1387,192741,4251,0,0
1406,195449,940,552,51
1408,147524,1186,45887,2395
1417,193279,51,2921,741
1426,180475,0,14731,1786
1432,196092,0,0,900
